MCC;TCC;MCC Category;Категория МСС;MCC Sub-Category;Подкатегория МСС;Description;Группа МСС;
742;R, T;Medical service;Медицинское обслуживание;Animal, Doctors;Домашние животные;Veterinary Services;Ветеринарные услуги;
763;R, T;Housekeeping ;Домашнее хозяйство;Farm Management Services;Обустройство приусадебных участков;Agricultural Cooperatives;Сельскохозяйственные кооперативы;
780;R, T;Housekeeping ;Домашнее хозяйство;Farm Management Services;Обустройство приусадебных участков;Horticultural Services, Landscaping Services;Садоводческие и ландшафтостроительные услуги;
1520;R, T;Housekeeping ;Домашнее хозяйство;Repair and construction;Ремонт, строительство;General Contractors—Residential and Commercial;Генеральное подрядчики  - жилищное и коммерческое строительство;
1711;R, T;Housekeeping ;Домашнее хозяйство;Repair and construction;Ремонт, строительство;Air Conditioning Contractors, Heating Contractors, Plumbing Contractors;Кондиционирование воздуха, системы обогрева и водопроводные услуги;
1731;R, T;Housekeeping ;Домашнее хозяйство;Repair and construction;Ремонт, строительство;Electrical Contractors;Услуги по электроэнергии;
1740;R, T;Housekeeping ;Домашнее хозяйство;Repair and construction;Ремонт, строительство;Insulation Contractors, Masonry Contractors, Plastering Contractors, Stonework Contractors, Tile Setting Contractors;Изоляция, каменная/кирпичная кладка, штукатурные работы, каменные работы, укладка черепицы;
1750;R, T;Housekeeping ;Домашнее хозяйство;Repair and construction;Ремонт, строительство;Carpentry Contractors;Плотницкие работы;
1761;R, T;Housekeeping ;Домашнее хозяйство;Repair and construction;Ремонт, строительство;Roofing and Siding Contractors, Sheet Metal Work Contractors, Siding and Roofing;Покрытие крыши, обшивка, работы с листовым металлом;
1771;R, T;Housekeeping ;Домашнее хозяйство;Repair and construction;Ремонт, строительство;Concrete Work Contractors;Подрядчики, бетонные работы;
1799;R, T;Housekeeping ;Домашнее хозяйство;Repair and construction;Ремонт, строительство;Contractors, Special Trade—not elsewhere classified;Подрядчики, другое - не классифицированные работы;
2741;R, T;Wholesale manufacturers;Оптовые производители;Leisure;Досуг;Miscellaneous Publishing and Printing, Publishing and Printing, Miscellaneous;Издательства, печатные салоны - различные;
2791;R, T;Wholesale manufacturers;Оптовые производители;Leisure;Досуг;Plate Making, Typesetting, and Related Services, Typesetting and Related Services;Типографические наборы, изготовление печатных форм, сопутствующие услуги;
2842;R, T;Housekeeping ;Домашнее хозяйство;Repair and construction;Ремонт, строительство;Sanitation, Polishing, and Specialty Cleaning Preparations;Специализированная чистка, полировка, санобработка;
3000;X;Transportation;Перевозки;Airlines;Авиакомпании;United Airlines—UNITED;Объединенные авиалинии;
3001;X;Transportation;Перевозки;Airlines;Авиакомпании;American Airlines—AMERICAN;Американские авиалинии;
3002;X;Transportation;Перевозки;Airlines;Авиакомпании;Pan American—PAN AM;Пэн Американ;
3003;X;Transportation;Перевозки;Airlines;Авиакомпании;Eurofly—EUROFLY;Еврофлай;
3004;X;Transportation;Перевозки;Airlines;Авиакомпании;Dragonair—DRAGONAIR;Транснациональные авиалинии;
3005;X;Transportation;Перевозки;Airlines;Авиакомпании;British Airways—BRITISH A;Британские авиалинии;
3006;X;Transportation;Перевозки;Airlines;Авиакомпании;Japan Air Lines—JAL;Японские авиалинии;
3007;X;Transportation;Перевозки;Airlines;Авиакомпании;Air France—AIR FRAN;Эйр Франс;
3008;X;Transportation;Перевозки;Airlines;Авиакомпании;Lufthansa—LUFTHAN;Люфтанза;
3009;X;Transportation;Перевозки;Airlines;Авиакомпании;Air Canada—AIR CAN;Эйр Канада;
3010;X;Transportation;Перевозки;Airlines;Авиакомпании;Royal Dutch Airlines (KLM)—KLM;Королевские Голландские авиалинии (КЛМ);
3011;X;Transportation;Перевозки;Airlines;Авиакомпании;Aeroflot—AEROFLOT;Аэрофлот;
3012;X;Transportation;Перевозки;Airlines;Авиакомпании;Qantas—QANTAS;Кантас;
3013;X;Transportation;Перевозки;Airlines;Авиакомпании;Alitalia—ALITALIA;Алиталия;
3014;X;Transportation;Перевозки;Airlines;Авиакомпании;Saudi Arabian Airlines—SAUDI AI;Авиалинии Саудовской Аравии;
